"name"	"attr"	"type"
"JaqenH'ghar"	"Braavos"	"culture"
"JaqenH'ghar"	"Many-FacedGod"	"religion"
"HighSparrow"	"The"	"lastseen"
"HighSparrow"	"HighSepton"	"titles"
"HighSparrow"	"Dead"	"status"
"HighSparrow"	"CerseiLannister"	"death"
"HighSparrow"	"FaithMilitant"	"allegiance"
"HighSparrow"	"RiotofKing'sLanding"	"predecessor"
"HighSparrow"	"FaithoftheSeven"	"religion"
"CerseiLannister"	"WinterisComing"	"firstseen"
"CerseiLannister"	"RobertBaratheon"	"titles"
"CerseiLannister"	"CerseioftheHouseLannister,the"	"alsoknownas"
"CerseiLannister"	"Alive"	"status"
"CerseiLannister"	"Approx.261AL"	"dateofbirth"
"CerseiLannister"	"TheWesterlands"	"origin"
"CerseiLannister"	"House"	"allegiance"
"CerseiLannister"	"Lord"	"predecessor"
"CerseiLannister"	"Andal"	"culture"
"CerseiLannister"	"TywinLannister"	"father"
"CerseiLannister"	"JoannaLannister"	"mother"
"CerseiLannister"	"RobertBaratheon"	"spouse"
"CerseiLannister"	"TommenBaratheon"	"children"
"CerseiLannister"	"TyrionLannister"	"siblings"
"CerseiLannister"	"LancelLannister"	"lovers"
"JaimeLannister"	"WinterisComing"	"firstseen"
"JaimeLannister"	"Lord"	"titles"
"JaimeLannister"	"Oathbreaking"	"alsoknownas"
"JaimeLannister"	"Alive"	"status"
"JaimeLannister"	"Approx.261AL"	"dateofbirth"
"JaimeLannister"	"CasterlyRock"	"origin"
"JaimeLannister"	"Kingsguard"	"allegiance"
"JaimeLannister"	"BarristanSelmy"	"predecessor"
"JaimeLannister"	"Andal"	"culture"
"JaimeLannister"	"TywinLannister"	"father"
"JaimeLannister"	"JoannaLannister"	"mother"
"JaimeLannister"	"TommenBaratheon"	"children"
"JaimeLannister"	"TyrionLannister"	"siblings"
"JaimeLannister"	"CerseiLannister"	"lovers"
"Melisandre"	"TheNorthRemembers"	"firstseen"
"Melisandre"	"MelisandreofAsshai,LadyMelisandre,TheRedWoman,TheRedWitch"	"alsoknownas"
"Melisandre"	"Alive"	"status"
"Melisandre"	"97BAL"	"dateofbirth"
"Melisandre"	"Asshai"	"origin"
"Melisandre"	"StannisBaratheon"	"allegiance"
"Melisandre"	"Asshai"	"culture"
"Melisandre"	"R'hllor"	"religion"
"Melisandre"	"StannisBaratheon"	"lovers"
"Missandei"	"ValarDohaeris"	"firstseen"
"Missandei"	"Alive"	"status"
"Missandei"	"Sothoryos"	"origin"
"Missandei"	"HouseTargaryen"	"allegiance"
"Missandei"	"Naath"	"culture"
"Missandei"	"GreyWorm"	"lovers"
"DaarioNaharis"	"The"	"lastseen"
"DaarioNaharis"	"BayofDragons"	"titles"
"DaarioNaharis"	"Alive"	"status"
"DaarioNaharis"	"FreeCities"	"origin"
"DaarioNaharis"	"HouseTargaryen"	"allegiance"
"DaarioNaharis"	"Tyrosh"	"culture"
"DaarioNaharis"	"DaenerysTargaryen"	"lovers"
"EllariaSand"	"TwoSwords"	"firstseen"
"EllariaSand"	"Alive"	"status"
"EllariaSand"	"Hellholt"	"origin"
"EllariaSand"	"HouseTargaryen"	"allegiance"
"EllariaSand"	"Dornishmen"	"culture"
"EllariaSand"	"TyeneSand"	"children"
"EllariaSand"	"Paramour"	"lovers"
"Sandbox/JonSnow(Updated)"	"Lord"	"titles"
"Sandbox/JonSnow(Updated)"	"ThePrinceThatWasPromised"	"alsoknownas"
"Sandbox/JonSnow(Updated)"	"Alive"	"status"
"Sandbox/JonSnow(Updated)"	"TowerofJoy"	"origin"
"Sandbox/JonSnow(Updated)"	"Night'sWatch"	"allegiance"
"Sandbox/JonSnow(Updated)"	"Northmen"	"culture"
"Sandbox/JonSnow(Updated)"	"Old"	"religion"
"DavosSeaworth"	"TheNorthRemembers"	"firstseen"
"DavosSeaworth"	"StannisBaratheon"	"titles"
"DavosSeaworth"	"TheOnionKnight,"	"alsoknownas"
"DavosSeaworth"	"Alive"	"status"
"DavosSeaworth"	"King'sLanding"	"origin"
"DavosSeaworth"	"House"	"allegiance"
"DavosSeaworth"	"Andal"	"culture"
"DavosSeaworth"	"FaithoftheSeven"	"religion"
"DavosSeaworth"	"MaryaSeaworth"	"spouse"
"DavosSeaworth"	"MatthosSeaworth"	"children"
"TalisaStark"	"GardenofBones"	"firstseen"
"TalisaStark"	"TheBrokenMan"	"mentionedin"
"TalisaStark"	"Queen"	"titles"
"TalisaStark"	"Dead"	"status"
"TalisaStark"	"LotharFrey"	"death"
"TalisaStark"	"Volantis"	"origin"
"TalisaStark"	"Maegyrfamily"	"allegiance"
"TalisaStark"	"Volantene"	"culture"
"TalisaStark"	"RobbStark"	"spouse"
"TalisaStark"	"{Unbornchild}"	"children"
"TalisaStark"	"Unnamedbrother"	"siblings"
"ViserysTargaryen"	"WinterisComing"	"firstseen"
"ViserysTargaryen"	"AGoldenCrown"	"lastseen"
"ViserysTargaryen"	"ProtectoroftheRealm"	"titles"
"ViserysTargaryen"	"ViserysoftheHouseTargaryen,the"	"alsoknownas"
"ViserysTargaryen"	"Dead"	"status"
"ViserysTargaryen"	"Approx.276AL"	"dateofbirth"
"ViserysTargaryen"	"Drogo"	"death"
"ViserysTargaryen"	"King'sLanding"	"origin"
"ViserysTargaryen"	"HouseTargaryen"	"allegiance"
"ViserysTargaryen"	"Valyrian"	"culture"
"ViserysTargaryen"	"FaithoftheSeven"	"religion"
"ViserysTargaryen"	"AerysIITargaryen"	"father"
"ViserysTargaryen"	"RhaellaTargaryen"	"mother"
"ViserysTargaryen"	"DaenerysTargaryen"	"siblings"
"SamwellTarly"	"Cripples,BastardsandBrokenThings"	"firstseen"
"SamwellTarly"	"Sam,SerPiggy,PrincePork-chop,LadyPiggy,SamtheSlayer"	"alsoknownas"
"SamwellTarly"	"Alive"	"status"
"SamwellTarly"	"Approx.280AL"	"dateofbirth"
"SamwellTarly"	"TheReach"	"origin"
"SamwellTarly"	"HouseTarly"	"allegiance"
"SamwellTarly"	"Andal"	"culture"
"SamwellTarly"	"Old"	"religion"
"SamwellTarly"	"RandyllTarly"	"father"
"SamwellTarly"	"MelessaFlorent"	"mother"
"SamwellTarly"	"Sam"	"children"
"SamwellTarly"	"DickonTarly"	"siblings"
"SamwellTarly"	"Gilly"	"lovers"
"Tormund"	"ValarDohaeris"	"firstseen"
"Tormund"	"TormundGiantsbane"	"alsoknownas"
"Tormund"	"Alive"	"status"
"Tormund"	"BeyondtheWall"	"origin"
"Tormund"	"HouseStark"	"allegiance"
"Tormund"	"FreeFolk"	"culture"
"Tormund"	"2unseendaughters"	"children"
"Varys"	"LordSnow"	"firstseen"
"Varys"	"DaenerysTargaryen"	"titles"
"Varys"	"TheSpider,TheEunuch,LordVarys"	"alsoknownas"
"Varys"	"Alive"	"status"
"Varys"	"FreeCities"	"origin"
"Varys"	"House"	"allegiance"
"Varys"	"TommenBaratheon"	"successor"
"Varys"	"Lys"	"culture"
"Ygritte"	"TheOldGodsandtheNew"	"firstseen"
"Ygritte"	"TheChildren"	"lastseen"
"Ygritte"	"Dead"	"status"
"Ygritte"	"Olly"	"death"
"Ygritte"	"BeyondtheWall"	"origin"
"Ygritte"	"FreeFolk"	"allegiance"
"Ygritte"	"FreeFolk"	"culture"
"Ygritte"	"JonSnow"	"lovers"
"Anara"	"The"	"appearedin"
"Anara"	"Alive"	"status"
"Anara"	"Braavos"	"origin"
"Anara"	"Braavos"	"culture"
"JonArryn"	"Mockingbird"	"mentionedin"
"JonArryn"	"RobertBaratheon"	"titles"
"JonArryn"	"Dead"	"status"
"JonArryn"	"PetyrBaelish"	"death"
"JonArryn"	"TheEyrie"	"origin"
"JonArryn"	"HouseArryn"	"allegiance"
"JonArryn"	"AerysIITargaryen"	"predecessor"
"JonArryn"	"RobertBaratheon"	"successor"
"JonArryn"	"Andal"	"culture"
"JonArryn"	"JasperArryn"	"father"
"JonArryn"	"LysaArryn"	"spouse"
"JonArryn"	"RobinArryn"	"children"
"JonArryn"	"RonnelArryn"	"siblings"
"ArwayaFrey"	"Baelor"	"firstseen"
"ArwayaFrey"	"Alive"	"status"
"ArwayaFrey"	"TheTwins"	"origin"
"ArwayaFrey"	"HouseFrey"	"allegiance"
"ArwayaFrey"	"Andal"	"culture"
"ArwayaFrey"	"WalderFrey"	"father"
"ArwayaFrey"	"KittyFrey"	"mother"
"ArwayaFrey"	"WalderRivers"	"siblings"
"Ash"	"BookoftheStranger"	"appearedin"
"Ash"	"Alive"	"status"
"Ash"	"Meereen"	"origin"
"Ash"	"Meereen"	"culture"
"Attendant"	"The"	"appearedin"
"Attendant"	"Alive"	"status"
"Aya"	"The"	"appearedin"
"Aya"	"Alive"	"status"
"Aya"	"Braavos"	"origin"
"Aya"	"Braavos"	"culture"
"BaldDragonstoneservant"	"TheLionandtheRose"	"appearedin"
"BaldDragonstoneservant"	"Alive"	"status"
"BaldDragonstoneservant"	"House"	"allegiance"
"Baratheonsoldier(Mother'sMercy)"	"Mother'sMercy"	"appearedin"
"Baratheonsoldier(Mother'sMercy)"	"Dead"	"status"
"Baratheonsoldier(Mother'sMercy)"	"RamsayBolton"	"death"
"Baratheonsoldier(Mother'sMercy)"	"House"	"allegiance"
"Bathhouseprostitute"	"The"	"appearedin"
"Bathhouseprostitute"	"Alive"	"status"
"Bathhouseprostitute"	"Braavos"	"origin"
"Bathhouseprostitute"	"Braavos"	"culture"
"BearIslandmaester"	"TheBrokenMan"	"appearedin"
"BearIslandmaester"	"Alive"	"status"
"BearIslandmaester"	"HouseMormont"	"allegiance"
"BearIslandmaester"	"Northmen"	"culture"
"Beggarwoman"	"Alive"	"status"
"Beggarwoman"	"King'sLanding"	"origin"
"Beggarwoman"	"FaithoftheSeven"	"religion"
"Billy"	"AManWithoutHonor"	"appearedin"
"Billy"	"Dead"	"status"
"Billy"	"TheonGreyjoy"	"death"
"Billy"	"Winterfell"	"origin"
"Billy"	"HouseStark"	"allegiance"
"Billy"	"Northmen"	"culture"
"Billy"	"Jack"	"siblings"
"Blackmont(Lord)"	"TwoSwords"	"firstseen"
"Blackmont(Lord)"	"LordofBlackmont"	"titles"
"Blackmont(Lord)"	"Alive"	"status"
"Blackmont(Lord)"	"Blackmont"	"origin"
"Blackmont(Lord)"	"HouseBlackmont"	"allegiance"
"Blackmont(Lord)"	"Dornishmen"	"culture"
"Boake"	"Boake"	"appearedin"
"Boake"	"Uncertain"	"status"
"Boake"	"FaithMilitant"	"allegiance"
"Boake"	"FaithoftheSeven"	"religion"
"Boatcommander"	"ValarDohaeris"	"appearedin"
"Boatcommander"	"Alive"	"status"
"Boatcommander"	"Lys"	"origin"
"Boatcommander"	"SalladhorSaan"	"allegiance"
"Boatcommander"	"Lys"	"culture"
"Bolton(sonofRoose)"	"Home"	"appearedin"
"Bolton(sonofRoose)"	"Dead"	"status"
"Bolton(sonofRoose)"	"RamsayBolton"	"death"
"Bolton(sonofRoose)"	"Winterfell"	"origin"
"Bolton(sonofRoose)"	"HouseBolton"	"allegiance"
"Bolton(sonofRoose)"	"RooseBolton"	"father"
"Bolton(sonofRoose)"	"WaldaBolton"	"mother"
"Bolton(sonofRoose)"	"RamsayBolton"	"siblings"
"Boltonguard"	"The"	"appearedin"
"Boltonguard"	"Dead"	"status"
"Boltonguard"	"YaraGreyjoy"	"death"
"Boltonguard"	"HouseBolton"	"allegiance"
"Boltonguard"	"Northmen"	"culture"
"Boltonman2"	"AndNowHisWatchisEnded"	"firstseen"
"Boltonman2"	"Uncertain"	"status"
"Boltonman2"	"HouseBolton"	"allegiance"
"Boltonman2"	"Northmen"	"culture"
"Boltonsoldier(TheRedWoman)"	"TheRedWoman"	"appearedin"
"Boltonsoldier(TheRedWoman)"	"Dead"	"status"
"Boltonsoldier(TheRedWoman)"	"HouseBolton"	"allegiance"
"Boltonsoldier(WalkofPunishment)"	"WalkofPunishment"	"appearedin"
"Boltonsoldier(WalkofPunishment)"	"Alive"	"status"
"Boltonsoldier(WalkofPunishment)"	"HouseBolton"	"allegiance"
"Boltonsoldier(WalkofPunishment)"	"Northmen"	"culture"
"Boltonsoldier1"	"AndNowHisWatchisEnded"	"firstseen"
"Boltonsoldier1"	"Uncertain"	"status"
"Boltonsoldier1"	"HouseBolton"	"allegiance"
"Boltonsoldier1"	"Northmen"	"culture"
"Braavosicaptain"	"Alive"	"status"
"Braavosicaptain"	"Braavos"	"origin"
"Braavosicaptain"	"Braavos"	"culture"
"Braavosimadam"	"The"	"appearedin"
"Braavosimadam"	"Alive"	"status"
"Braavosimadam"	"Braavos"	"origin"
"Braavosimadam"	"Braavos"	"culture"
"Braavosiprostitute"	"The"	"appearedin"
"Braavosiprostitute"	"Alive"	"status"
"Braavosiprostitute"	"Braavos"	"origin"
"Braavosiprostitute"	"Braavos"	"culture"
"Braavosiwoman1(TheDoor)"	"TheDoor"	"firstseen"
"Braavosiwoman1(TheDoor)"	"Alive"	"status"
"Braavosiwoman1(TheDoor)"	"Braavos"	"origin"
"Braavosiwoman1(TheDoor)"	"Braavos"	"culture"
"BethanyBracken"	"TheKingsguard(Histories&amp;Lore)"	"mentionedin"
"BethanyBracken"	"Dead"	"status"
"BethanyBracken"	"StoneHedge"	"origin"
"BethanyBracken"	"HouseBracken"	"allegiance"
"BethanyBracken"	"Andal"	"culture"
"BethanyBracken"	"TerrenceToyne"	"lovers"
"JonosBracken"	"FireandBlood"	"appearedin"
"JonosBracken"	"Cripples,BastardsandBrokenThings"	"mentionedin"
"JonosBracken"	"LordofStoneHedge"	"titles"
"JonosBracken"	"Alive"	"status"
"JonosBracken"	"StoneHedge"	"origin"
"JonosBracken"	"HouseTully"	"allegiance"
"JonosBracken"	"Andal"	"culture"
"Brant"	"Brant"	"appearedin"
"Brant"	"Alive"	"status"
"Brant"	"Night'sWatch"	"allegiance"
"Brea"	"The"	"appearedin"
"Brea"	"Alive"	"status"
"Brea"	"Braavos"	"origin"
"Brea"	"Braavos"	"culture"
"Brothelchild1"	"Mother'sMercy"	"appearedin"
"Brothelchild1"	"Alive"	"status"
"Brothelchild1"	"Braavos"	"origin"
"Brothelchild1"	"Braavos"	"culture"
"Brothelchild2"	"Mother'sMercy"	"appearedin"
"Brothelchild2"	"Alive"	"status"
"Brothelchild2"	"Braavos"	"origin"
"Brothelchild2"	"Braavos"	"culture"
"Brothelguard"	"Alive"	"status"
"Brothelguard"	"Volantis"	"origin"
"Brothelguard"	"Volantis"	"culture"
"Brozho"	"BookoftheStranger"	"appearedin"
"Brozho"	"Khal"	"titles"
"Brozho"	"Dead"	"status"
"Brozho"	"DaenerysTargaryen"	"death"
"Brozho"	"DothrakiSea"	"origin"
"Brozho"	"Himself"	"allegiance"
"Brozho"	"Dothraki"	"culture"
"Brozho"	"GreatStallion"	"religion"
"Brusco"	"The"	"appearedin"
"Brusco"	"Alive"	"status"
"Brusco"	"Braavos"	"origin"
"Brusco"	"Braavos"	"culture"
"JackBulwer"	"TheMountainandtheViper"	"appearedin"
"JackBulwer"	"BlackJackBulwer"	"alsoknownas"
"JackBulwer"	"Dead"	"status"
"JackBulwer"	"Wildlings"	"death"
"JackBulwer"	"Blackcrown"	"origin"
"JackBulwer"	"HouseBulwer"	"allegiance"
"JackBulwer"	"Andal"	"culture"
"Captainofthearchers(HouseBolton)"	"BattleoftheBastards"	"appearedin"
"Captainofthearchers(HouseBolton)"	"Uncertain"	"status"
"Captainofthearchers(HouseBolton)"	"HouseBolton"	"allegiance"
"Captainofthearchers(HouseBolton)"	"Northmen"	"culture"
"Captainofthearchers(HouseBolton)"	"Old"	"religion"
"Captainofthearchers(HouseLannister)"	"Blackwater"	"appearedin"
"Captainofthearchers(HouseLannister)"	"Uncertain"	"status"
"Captainofthearchers(HouseLannister)"	"HouseLannister"	"allegiance"
"Captain'sdaughter"	"TheNightLands"	"appearedin"
"Captain'sdaughter"	"Alive"	"status"
"Catspawassassin"	"TheKingsroad"	"appearedin"
"Catspawassassin"	"Dead"	"status"
"Catspawassassin"	"Summer"	"death"
"Catspawassassin"	"Unknown(see\"Inthebooks\"section)"	"allegiance"
"CleyCerwyn"	"The"	"appearedin"
"CleyCerwyn"	"CastleCerwyn"	"titles"
"CleyCerwyn"	"Alive"	"status"
"CleyCerwyn"	"CastleCerwyn"	"origin"
"CleyCerwyn"	"HouseStark"	"allegiance"
"CleyCerwyn"	"Northmen"	"culture"
"CleyCerwyn"	"Old"	"religion"
"CleyCerwyn"	"MedgerCerwyn"	"father"
"ChildoftheForest2(TheChildren)"	"TheChildren"	"firstseen"
"ChildoftheForest2(TheChildren)"	"WhiteWalkers"	"status"
"ChildoftheForest2(TheChildren)"	"ChildrenoftheForest"	"allegiance"
"ChildoftheForest2(TheChildren)"	"ChildrenoftheForest"	"culture"
"ChildoftheForest2(TheChildren)"	"Old"	"religion"
"ChildoftheForest3"	"TheDoor"	"firstseen"
"ChildoftheForest3"	"Morethan12,000years"	"age"
"ChildoftheForest3"	"Caveofthethree-eyedraven"	"death"
"ChildoftheForest3"	"ChildrenoftheForest"	"allegiance"
"ChildoftheForest3"	"ChildrenoftheForest"	"culture"
"ChildoftheForest3"	"Old"	"religion"
"ChildoftheForest4"	"TheDoor"	"firstseen"
"ChildoftheForest4"	"Morethan12,000years"	"age"
"ChildoftheForest4"	"Caveofthethree-eyedraven"	"death"
"ChildoftheForest4"	"ChildrenoftheForest"	"allegiance"
"ChildoftheForest4"	"ChildrenoftheForest"	"culture"
"ChildoftheForest4"	"Old"	"religion"
"Clea"	"Alive"	"status"
"Clea"	"Volantis"	"origin"
"Clea"	"Volantis"	"culture"
"Colen"	"WhatisDeadMayNeverDie"	"appearedin"
"Colen"	"Knighthood"	"titles"
"Colen"	"Alive"	"status"
"Colen"	"RenlyBaratheon"	"allegiance"
"Cooper"	"TheWatchersontheWall"	"appearedin"
"Cooper"	"Dead"	"status"
"Cooper"	"MagMarTunDohWeg"	"death"
"Cooper"	"Night'sWatch"	"allegiance"
"Cooper"	"FaithoftheSeven"	"religion"
"DesmondCrakehall"	"Mhysa"	"appearedin"
"DesmondCrakehall"	"LordofCrakehall"	"titles"
"DesmondCrakehall"	"Alive"	"status"
"DesmondCrakehall"	"Crakehall"	"origin"
"DesmondCrakehall"	"HouseCrakehall"	"allegiance"
"Craster'slastson"	"BloodofMyBlood"	"appearedin"
"Craster'slastson"	"Uncertain"	"status"
"Craster'slastson"	"Craster'sKeep"	"origin"
"Craster'slastson"	"WhiteWalkers"	"allegiance"
"Craster'slastson"	"WhiteWalkers"	"culture"
"Craster'slastson"	"Craster"	"father"
"Craster'swife(WalkofPunishment)"	"WalkofPunishment"	"appearedin"
"Craster'swife(WalkofPunishment)"	"Alive"	"status"
"Craster'swife(WalkofPunishment)"	"Craster'sKeep"	"origin"
"Craster'swife(WalkofPunishment)"	"Craster"	"allegiance"
"Craster'swife(WalkofPunishment)"	"FreeFolk"	"culture"
"Craster'swife(WalkofPunishment)"	"WhiteWalkers"	"religion"
"Craster'swife(WalkofPunishment)"	"Craster"	"father"
"Craster'swife(WalkofPunishment)"	"Craster"	"spouse"
"Craster'swife2(Oathkeeper)"	"Oathkeeper"	"appearedin"
"Craster'swife2(Oathkeeper)"	"Alive"	"status"
"Craster'swife2(Oathkeeper)"	"Craster'sKeep"	"origin"
"Craster'swife2(Oathkeeper)"	"Craster"	"allegiance"
"Craster'swife2(Oathkeeper)"	"FreeFolk"	"culture"
"Craster'swife2(Oathkeeper)"	"WhiteWalkers"	"religion"
"Craster'swife2(Oathkeeper)"	"Craster"	"father"
"Craster'swife2(Oathkeeper)"	"Craster"	"spouse"
"Craster'swife3(Oathkeeper)"	"Oathkeeper"	"appearedin"
"Craster'swife3(Oathkeeper)"	"Alive"	"status"
"Craster'swife3(Oathkeeper)"	"Craster'sKeep"	"origin"
"Craster'swife3(Oathkeeper)"	"Craster"	"allegiance"
"Craster'swife3(Oathkeeper)"	"FreeFolk"	"culture"
"Craster'swife3(Oathkeeper)"	"WhiteWalkers"	"religion"
"Craster'swife3(Oathkeeper)"	"Craster"	"father"
"Craster'swife3(Oathkeeper)"	"Craster"	"spouse"
"Craster'syoungerwife(WalkofPunishment)"	"WalkofPunishment"	"appearedin"
"Craster'syoungerwife(WalkofPunishment)"	"Alive"	"status"
"Craster'syoungerwife(WalkofPunishment)"	"Craster'sKeep"	"origin"
"Craster'syoungerwife(WalkofPunishment)"	"Craster"	"allegiance"
"Craster'syoungerwife(WalkofPunishment)"	"FreeFolk"	"culture"
"Craster'syoungerwife(WalkofPunishment)"	"Craster"	"father"
"Craster'syoungerwife(WalkofPunishment)"	"Craster"	"spouse"
"Cressen"	"TheNorthRemembers"	"appearedin"
"Cressen"	"Maester"	"titles"
"Cressen"	"Dead"	"status"
"Cressen"	"Poison"	"death"
"Cressen"	"Dragonstone"	"allegiance"
"Cressen"	"FaithoftheSeven"	"religion"
"Dareon"	"YouWinorYouDie"	"appearedin"
"Dareon"	"Alive"	"status"
"Dareon"	"TheReach"	"origin"
"Dareon"	"Night'sWatch"	"allegiance"
"Derek"	"Derek"	"appearedin"
"Derek"	"Alive"	"status"
"Derek"	"Night'sWatch"	"allegiance"
"Despondentman"	"Dead"	"status"
"Despondentman"	"JaqenH'ghar"	"death"
"Despondentman"	"Braavos"	"origin"
"Despondentman"	"Braavos"	"culture"
"Despondentman"	"GodofDeath"	"religion"
"DimDalba"	"Uncertain"	"status"
"DimDalba"	"ManceRayder"	"allegiance"
"DimDalba"	"FreeFolk"	"culture"
"DimDalba"	"Old"	"religion"
"DonnelHill"	"TheWatchersontheWall"	"appearedin"
"DonnelHill"	"Ranger"	"titles"
"DonnelHill"	"Dead"	"status"
"DonnelHill"	"MagMarTunDohWeg"	"death"
"DonnelHill"	"Night'sWatch"	"allegiance"
"Dothrakicrone"	"AGoldenCrown"	"appearedin"
"Dothrakicrone"	"Khaleesi"	"titles"
"Dothrakicrone"	"Alive"	"status"
"Dothrakicrone"	"DothrakiSea"	"origin"
"Dothrakicrone"	"Doshkhaleen"	"allegiance"
"Dothrakicrone"	"Dothraki"	"culture"
"Dothrakicrone"	"GreatStallion"	"religion"
"Dothrakimanhavingsex(BookoftheStranger)"	"BookoftheStranger"	"appearedin"
"Dothrakimanhavingsex(BookoftheStranger)"	"Alive"	"status"
"Dothrakimanhavingsex(BookoftheStranger)"	"DothrakiSea"	"origin"
"Dothrakimanhavingsex(BookoftheStranger)"	"Dothraki"	"culture"
"Dothrakimanhavingsex(BookoftheStranger)"	"GreatStallion"	"religion"
"Dothrakipitfighter"	"Dead"	"status"
"Dothrakipitfighter"	"DothrakiSea"	"origin"
"Dothrakipitfighter"	"Dothraki"	"allegiance"
"Dothrakipitfighter"	"Dothraki"	"culture"
"Dothrakipitfighter"	"GreatStallion"	"religion"
"Dothrakiwidow2"	"Oathbreaker"	"firstseen"
"Dothrakiwidow2"	"Alive"	"status"
"Dothrakiwidow2"	"DothrakiSea"	"origin"
"Dothrakiwidow2"	"Dothraki"	"culture"
"Dothrakiwidow2"	"GreatStallion"	"religion"
"Dothrakiwidow3"	"Oathbreaker"	"firstseen"
